EC Number,Galaxy107-[Prokka on data 96_ tbl].txt,Galaxy108-[Prokka on data 97_ tbl].txt,Galaxy126-[Prokka on data 115_ tbl].txt,Galaxy131-[Prokka on data 120_ tbl].txt,Galaxy146-[Prokka on data 135_ tbl].txt,Galaxy157-[Prokka on data 146_ tbl].txt,Galaxy172-[Prokka on data 161_ tbl].txt,Galaxy177-[Prokka on data 166_ tbl].txt,Galaxy18-[Prokka on data 7_ tbl].txt,Galaxy197-[Prokka on data 186_ tbl].txt,Galaxy198-[Prokka on data 187_ tbl].txt,Galaxy201-[Prokka on data 190_ tbl].txt,Galaxy24-[Prokka on data 13_ tbl].txt,Galaxy241-[Prokka on data 230_ tbl].txt,Galaxy261-[Prokka on data 254_ tbl].txt,Galaxy28-[Prokka on data 17_ tbl].txt,Galaxy281-[Prokka on data 270_ tbl].txt,Galaxy289-[Prokka on data 278_ tbl].txt,Galaxy301-[Prokka on data 290_ tbl].txt,Galaxy309-[Prokka on data 298_ tbl].txt,Galaxy321-[Prokka on data 310_ tbl].txt,Galaxy345-[Prokka on data 334_ tbl].txt,Galaxy361-[Prokka on data 350_ tbl].txt,Galaxy393-[Prokka on data 382_ tbl].txt,Galaxy405-[Prokka on data 394_ tbl].txt,Galaxy417-[Prokka on data 406_ tbl].txt,Galaxy425-[Prokka on data 414_ tbl].txt,Galaxy44-[Prokka on data 33_ tbl].txt,Galaxy445-[Prokka on data 434_ tbl].txt,Galaxy465-[Prokka on data 454_ tbl].txt,Galaxy485-[Prokka on data 474_ tbl].txt,Galaxy505-[Prokka on data 494_ tbl].txt,Galaxy525-[Prokka on data 514_ tbl].txt,Galaxy53-[Prokka on data 42_ tbl].txt,Galaxy545-[Prokka on data 534_ tbl].txt,Galaxy565-[Prokka on data 554_ tbl].txt,Galaxy585-[Prokka on data 574_ tbl].txt,Galaxy605-[Prokka on data 594_ tbl].txt,Galaxy62-[Prokka on data 51_ tbl].txt,Galaxy645-[Prokka on data 634_ tbl].txt,Galaxy669-[Prokka on data 658_ tbl].txt,Galaxy73-[Prokka on data 62_ tbl].txt,Galaxy86-[Prokka on data 75_ tbl].txt,Galaxy87-[Prokka on data 76_ tbl].txt
2.4.1.182,0.780488,0.879085,0.845455,1.89809,0.0,0.0,2.749862,0.830189,1.06227,0.89172,1.637715,1.785412,1.30216,1.14844,0.892361,2.233687,0.0,4.003167,0.0,0.93617,0.0,2.595799,0.0,0.699029,0.0,1.751628,0.870629,0.0,0.0,1.803795,0.674497,0.0,0.845426,0.944984,1.6799520000000001,0.0,0.0,1.824599,1.8517029999999999,1.579335,1.717625,0.912281,0.0,0.938567
2.7.10.-,0.987578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.834254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.889793,0.0,0.842243,0.802469,0.0,0.0,0.0,0.0,0.935535,0.0,0.933566,0.0,0.0,0.836667,0.0,0.0,0.0,1.01938,1.02448,0.0,0.0,0.0,0.921933,0.0,3.902513,0.931818,0.0
3.1.2.29,0.941581,0.0,1.23856,0.881459,0.747292,0.0,2.445186,0.0,0.0,0.0,0.0,1.934133,0.8525,0.906574,1.738089,1.06529,0.905455,0.826923,0.875,1.50197,0.0,1.6342539999999999,1.9710169999999998,0.868687,0.0,1.666428,3.2603459999999997,0.803468,1.746582,1.7602419999999999,0.8,0.0,2.038183,0.839181,1.4214310000000001,0.0,0.876812,0.0,3.24028,0.820896,0.0,0.984436,1.720914,0.0
2.7.1.165,0.0,0.0,0.0,0.0,0.0,1.03226,0.0,0.0,0.833333,0.0,1.04651,0.0,0.0,0.984962,0.0,1.7164229999999998,0.0,0.0,0.873846,2.782584,0.0,0.0,0.0,0.0,1.11328,0.901274,0.0,0.890282,1.966216,0.0,0.0,0.0,0.0,0.0,0.947368,0.0,0.0,0.0,1.8212899999999999,1.08209,1.672547,1.05587,0.0,0.0
5.1.3.24,0.0,1.12198,0.996047,0.887195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798851,0.0,0.0,0.0,0.0,0.0,1.02473,0.808036,0.0,1.81349,0.0,0.0,0.0,0.0,0.0,0.0,1.05735,0.906716,0.0,0.0,0.0,0.815341,0.0,0.0,0.0,0.0,0.0,1.02985,0.803468,0.0,0.0,0.0
1.1.1.373,0.952077,0.502488,1.801752,0.0,1.516082,1.754763,2.691007,0.986348,0.9375,1.599489,0.0,2.886749,0.0,1.648151,1.842514,0.0,1.778715,3.207899,0.0,2.794504,1.674817,0.843305,1.11111,1.934851,5.12156,0.0,0.0,2.5719339999999997,2.79684,2.729864,2.13781,0.0,5.440487,0.805797,0.0,0.0,0.9375,0.0,1.780879,1.14179,1.752748,2.577116,0.0,0.0
5.3.1.32,0.0,0.95283,0.0,4.494823,1.9208180000000001,0.946399,4.047883000000001,0.0,0.784615,0.0,0.0,3.599565,0.945763,0.0,2.81861,1.968623,0.0,4.275534,0.856148,6.084849,1.651381,0.0,0.663594,2.971394,2.830061,0.0,0.911854,2.179701,1.688035,2.607915,2.53905,0.0,1.301983,2.120717,1.0,0.0,0.0,0.0,5.454186000000001,1.0709,0.0,1.09622,0.423341,0.0
6.2.1.41,3.044511,5.473725,5.104989,6.889475,1.731212,3.6327290000000003,6.222265999999999,3.83093,7.172968,4.162639,4.5492159999999995,12.362466,14.032373999999999,3.6441230000000004,8.753509,13.739115000000002,8.034210999999999,6.115927,1.4292639999999999,25.679424000000004,5.040298,7.600013,3.437309,5.599391999999999,7.512198,0.0,4.347395,6.663129,6.069806000000001,5.103072,5.2825120000000005,3.7019849999999996,3.5407450000000003,6.690264,4.713401,4.348028,5.212266,3.2531369999999997,8.414755,1.7356599999999998,6.9841619999999995,22.574951999999993,1.802807,3.5979609999999997
3.5.99.10,3.095331,10.296344000000001,3.809894,0.0,2.732037,4.988069,7.864978,1.7389100000000002,4.624913,0.0,3.8292430000000004,10.580905000000001,4.657995,2.930518,2.522497,16.381807000000002,5.84226,9.512056,7.353029999999999,11.884749000000001,1.7009319999999999,10.014643,1.672188,8.332607,9.584913,4.068576,4.966415,6.87083,3.4896789999999998,9.638062000000001,3.1906630000000002,3.879308,14.751957999999998,1.824287,0.913462,3.143103,0.919505,0.836842,7.656001000000001,0.898876,2.882435,4.163368,0.97351,2.7458340000000003
2.7.2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.788961,0.0,0.0,0.469055,0.952381,0.0,0.0,0.0,1.623707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921348,0.0,0.0,0.934363,0.0
